Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-04-07T13:44:00Z,301.3,298.6,7.37,Logged,,,,
2,2022-04-07T13:44:01Z,301.1,298.2,7.36,,,,,
3,2022-04-07T13:44:02Z,301.3,298.6,7.36,,,,,
4,2022-04-07T13:44:03Z,301.2,298.2,7.37,,,,,
5,2022-04-07T13:44:04Z,301.2,298.2,7.36,,,,,
6,2022-04-07T13:44:05Z,301.1,298.2,7.37,,,,,
7,2022-04-07T13:44:06Z,301.2,298.2,7.37,,,,,
8,2022-04-07T13:44:07Z,301.3,298.2,7.34,,,,,
9,2022-04-07T13:44:08Z,301.2,298.2,7.37,,,,,
10,2022-04-07T13:44:09Z,301.2,298.2,7.36,,,,,
11,2022-04-07T13:44:10Z,301.2,298.6,7.36,,,,,
12,2022-04-07T13:44:11Z,301.1,298.2,7.35,,,,,
13,2022-04-07T13:44:12Z,301.3,298.2,7.37,,,,,
14,2022-04-07T13:44:13Z,301.3,298.2,7.37,,,,,
15,2022-04-07T13:44:14Z,301.2,298.2,7.34,,,,,
16,2022-04-07T13:44:15Z,301.2,298.2,7.36,,,,,
17,2022-04-07T13:44:16Z,301.2,298.2,7.36,,,,,
18,2022-04-07T13:44:17Z,301.3,298.6,7.37,,,,,
19,2022-04-07T13:44:18Z,301.2,298.6,7.36,,,,,
20,2022-04-07T13:44:19Z,301.1,298.6,7.33,,,,,
21,2022-04-07T13:44:20Z,301.2,298.6,7.35,,,,,
22,2022-04-07T13:44:21Z,301.3,298.2,7.35,,,,,
23,2022-04-07T13:44:22Z,301.3,298.6,7.37,,,,,
24,2022-04-07T13:44:23Z,301.2,298.2,7.36,,,,,
25,2022-04-07T13:44:24Z,301.3,298.2,7.33,,,,,
