Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-04-07T12:20:00Z,2.2,0.7,13.43,Logged,,,,
2,2022-04-07T12:20:01Z,2.2,0.7,13.42,,,,,
3,2022-04-07T12:20:02Z,2.2,0.7,13.42,,,,,
4,2022-04-07T12:20:03Z,2.2,0.7,13.43,,,,,
5,2022-04-07T12:20:04Z,2.2,0.7,13.44,,,,,
6,2022-04-07T12:20:05Z,2.2,-3,13.44,,,,,
7,2022-04-07T12:20:06Z,1.2,0.7,13.45,,,,,
8,2022-04-07T12:20:07Z,2.2,0.7,13.44,,,,,
9,2022-04-07T12:20:08Z,2.2,0.7,13.43,,,,,
10,2022-04-07T12:20:09Z,2.2,0.7,13.44,,,,,
11,2022-04-07T12:20:10Z,2.2,-3,13.46,,,,,
12,2022-04-07T12:20:11Z,2.2,0.7,13.48,,,,,
13,2022-04-07T12:20:12Z,1.2,0.7,13.49,,,,,
14,2022-04-07T12:20:13Z,1.3,0.7,13.5,,,,,
15,2022-04-07T12:20:14Z,2.2,0.7,13.49,,,,,
16,2022-04-07T12:20:15Z,2.2,0.7,13.5,,,,,
17,2022-04-07T12:20:16Z,2.2,0.7,13.52,,,,,
18,2022-04-07T12:20:17Z,2.2,0.7,13.51,,,,,
19,2022-04-07T12:20:18Z,2.2,0.7,13.49,,,,,
20,2022-04-07T12:20:19Z,2.2,0.7,13.5,,,,,
21,2022-04-07T12:20:20Z,2.2,0.7,13.5,,,,,
22,2022-04-07T12:20:21Z,2.2,-1.5,13.5,,,,,
23,2022-04-07T12:20:22Z,2.2,-1.5,13.51,,,,,
24,2022-04-07T12:20:23Z,1.2,0.7,13.51,,,,,
25,2022-04-07T12:20:24Z,2.2,-3,13.51,,,,,
26,2022-04-07T12:20:25Z,2.2,0.7,13.5,,,,,
