sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
NA_1,2022-04-07,10:18:15,NA,NA,-0.007,NA,427,Reach length: 70m
NA_2,2022-04-07,10:20:40,NA,NA,0.708,NA,628,"HOR HOBO: 20775520, BOR HOBO: 20775523"
NA_3,2022-04-07,10:20:55,NA,NA,1.285,NA,655,"1141.0 g NaCl, 308.0 g KNO3, 2.5 gallons water"
NA_4,2022-04-07,10:21:10,NA,NA,4.834,NA,668,"Injection start: 10:15:15, injection end 10:16:20"
NA_5,2022-04-07,10:21:32,NA,NA,4.72,NA,700,
NA_6,2022-04-07,10:21:48,NA,NA,4.278,NA,690,
NA_7,2022-04-07,10:22:00,NA,NA,4.493,NA,663,
NA_8,2022-04-07,10:22:20,NA,NA,3.773,NA,647,
NA_9,2022-04-07,10:22:30,NA,NA,2.866,NA,609,
NA_10,2022-04-07,10:23:30,NA,NA,1.718,NA,538,
NA_11,2022-04-07,10:24:15,NA,NA,0.923,NA,496,
NA_12,2022-04-07,10:25:15,NA,NA,0.514,NA,461,
NA_13,2022-04-07,10:26:10,NA,NA,0.277,NA,443,
NA_14,2022-04-07,10:27:00,NA,NA,0.17,NA,438,
NA_15,2022-04-07,10:28:00,NA,NA,0.097,NA,435,
NA_16,2022-04-07,10:33:10,NA,NA,0.018,NA,429,
NA_17,2022-04-07,10:40:10,NA,NA,0.011,NA,428,
HOR_1,2022-04-07,10:09:00,NA,NA,0.007,NA,NA,Sample time in green notebook 
HOR_2,2022-04-07,10:30:15,NA,NA,0.004,NA,NA,
