sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
NA_1,2022-04-07,12:44:25,NA,NA,0.006,NA,444.7,Reach length: 90m
NA_2,2022-04-07,12:47:00,NA,NA,0.005,NA,444.7,"BOR HOBO: 20775520, HOR HOBO: 20775523"
NA_3,2022-04-07,12:48:35,NA,NA,0.581,NA,473,"1060.8 g NaCl, 300.6 g KNO3, 2.5 gallons water"
NA_4,2022-04-07,12:49:20,NA,NA,1.641,NA,533,"Injection start: 12:44:00, injection end 12:46:30"
NA_5,2022-04-07,12:49:50,NA,NA,2.859,NA,600,
NA_6,2022-04-07,12:50:00,NA,NA,3.195,NA,635,
NA_7,2022-04-07,12:50:30,NA,NA,4.017,NA,668,
NA_8,2022-04-07,12:51:00,NA,NA,4.229,NA,682,
NA_9,2022-04-07,12:51:25,NA,NA,3.921,NA,667,
NA_10,2022-04-07,12:51:50,NA,NA,4.044,NA,632,
NA_11,2022-04-07,12:52:20,NA,NA,2.08,NA,597,
NA_12,2022-04-07,12:52:45,NA,NA,1.722,NA,561,
NA_13,2022-04-07,12:53:20,NA,NA,1.426,NA,522,
NA_14,2022-04-07,12:53:40,NA,NA,1.102,NA,503,
NA_15,2022-04-07,12:54:20,NA,NA,0.7,NA,487,
NA_16,2022-04-07,12:55:05,NA,NA,0.427,NA,469,
NA_17,2022-04-07,12:56:00,NA,NA,0.235,NA,559,
NA_18,2022-04-07,12:58:00,NA,NA,0.089,NA,450,
NA_19,2022-04-07,13:03:00,NA,NA,0.023,NA,446,
HOR_1,2022-04-07,12:43:00,NA,NA,NA,NA,NA,Sample time in green notebook 
HOR_2,2022-04-07,12:58:00,NA,NA,NA,NA,NA,
