Plot Title: 20775520,,,,,,,,,
#,"Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Full Range, μS/cm (LGR S/N: 20775520, SEN S/N: 20775520)","Temp, °C (LGR S/N: 20775520, SEN S/N: 20775520)",Coupler Detached (LGR S/N: 20775520),Coupler Attached (LGR S/N: 20775520),Host Connected (LGR S/N: 20775520),Stopped (LGR S/N: 20775520),End Of File (LGR S/N: 20775520)
1,2022-06-23T12:00:00Z,365.8,363.6,11.27,Logged,,,,
2,2022-06-23T12:00:03Z,365.8,363.6,11.27,,,,,
3,2022-06-23T12:00:06Z,365.8,363.6,11.27,,,,,
4,2022-06-23T12:00:09Z,365.8,363.6,11.26,,,,,
5,2022-06-23T12:00:12Z,365.8,363.6,11.27,,,,,
6,2022-06-23T12:00:15Z,365.7,363.6,11.27,,,,,
7,2022-06-23T12:00:18Z,365.8,363.6,11.26,,,,,
8,2022-06-23T12:00:21Z,365.8,363.6,11.27,,,,,
9,2022-06-23T12:00:24Z,365.8,363.6,11.26,,,,,
10,2022-06-23T12:00:27Z,365.7,363.6,11.27,,,,,
11,2022-06-23T12:00:30Z,365.8,363.6,11.26,,,,,
12,2022-06-23T12:00:33Z,365.8,363.9,11.26,,,,,
13,2022-06-23T12:00:36Z,365.8,363.6,11.26,,,,,
14,2022-06-23T12:00:39Z,365.7,363.6,11.27,,,,,
15,2022-06-23T12:00:42Z,365.8,363.6,11.26,,,,,
16,2022-06-23T12:00:45Z,365.8,363.6,11.26,,,,,
17,2022-06-23T12:00:48Z,365.8,363.6,11.26,,,,,
18,2022-06-23T12:00:51Z,365.8,363.6,11.26,,,,,
19,2022-06-23T12:00:54Z,365.8,363.6,11.27,,,,,
20,2022-06-23T12:00:57Z,365.7,363.6,11.27,,,,,
21,2022-06-23T12:01:00Z,365.8,363.6,11.26,,,,,
22,2022-06-23T12:01:03Z,365.8,363.6,11.27,,,,,
23,2022-06-23T12:01:06Z,365.8,363.6,11.26,,,,,
24,2022-06-23T12:01:09Z,365.8,363.2,11.26,,,,,
25,2022-06-23T12:01:12Z,365.8,363.6,11.26,,,,,
26,2022-06-23T12:01:15Z,365.8,363.6,11.26,,,,,
27,2022-06-23T12:01:18Z,365.8,363.6,11.26,,,,,
28,2022-06-23T12:01:21Z,365.7,363.6,11.26,,,,,
29,2022-06-23T12:01:24Z,365.8,363.6,11.26,,,,,
30,2022-06-23T12:01:27Z,365.8,363.6,11.26,,,,,
31,2022-06-23T12:01:30Z,365.9,363.6,11.26,,,,,
32,2022-06-23T12:01:33Z,365.7,363.6,11.27,,,,,
33,2022-06-23T12:01:36Z,365.8,363.6,11.26,,,,,
34,2022-06-23T12:01:39Z,365.8,363.6,11.26,,,,,
35,2022-06-23T12:01:42Z,365.7,363.6,11.27,,,,,
36,2022-06-23T12:01:45Z,365.7,363.6,11.27,,,,,
37,2022-06-23T12:01:48Z,365.8,363.6,11.26,,,,,
38,2022-06-23T12:01:51Z,365.8,363.6,11.26,,,,,
39,2022-06-23T12:01:54Z,365.8,363.6,11.26,,,,,
40,2022-06-23T12:01:57Z,365.8,363.6,11.26,,,,,
41,2022-06-23T12:02:00Z,365.8,363.6,11.26,,,,,
42,2022-06-23T12:02:03Z,365.7,363.6,11.27,,,,,
43,2022-06-23T12:02:06Z,365.8,363.6,11.26,,,,,
44,2022-06-23T12:02:09Z,365.7,363.6,11.27,,,,,
45,2022-06-23T12:02:12Z,365.8,363.6,11.27,,,,,
46,2022-06-23T12:02:15Z,365.8,363.9,11.27,,,,,
47,2022-06-23T12:02:18Z,365.8,363.6,11.26,,,,,
48,2022-06-23T12:02:21Z,365.8,363.6,11.26,,,,,
49,2022-06-23T12:02:24Z,365.8,363.6,11.26,,,,,
50,2022-06-23T12:02:27Z,365.8,363.6,11.26,,,,,
51,2022-06-23T12:02:30Z,365.8,363.6,11.26,,,,,
52,2022-06-23T12:02:33Z,365.8,363.6,11.27,,,,,
53,2022-06-23T12:02:36Z,365.9,363.6,11.26,,,,,
54,2022-06-23T12:02:39Z,365.8,363.6,11.26,,,,,
55,2022-06-23T12:02:42Z,365.8,363.6,11.27,,,,,
56,2022-06-23T12:02:45Z,365.8,363.6,11.27,,,,,
57,2022-06-23T12:02:48Z,365.8,363.6,11.27,,,,,
58,2022-06-23T12:02:51Z,365.8,363.6,11.27,,,,,
59,2022-06-23T12:02:54Z,365.8,363.6,11.27,,,,,
60,2022-06-23T12:02:57Z,365.8,363.6,11.27,,,,,
61,2022-06-23T12:03:00Z,366,363.6,11.27,,,,,
62,2022-06-23T12:03:03Z,365.9,363.6,11.27,,,,,
63,2022-06-23T12:03:06Z,365.9,363.9,11.28,,,,,
64,2022-06-23T12:03:09Z,366,363.9,11.27,,,,,
65,2022-06-23T12:03:12Z,365.9,363.9,11.28,,,,,
66,2022-06-23T12:03:15Z,366,363.5,11.28,,,,,
67,2022-06-23T12:03:18Z,366,363.5,11.28,,,,,
68,2022-06-23T12:03:21Z,365.9,363.5,11.28,,,,,
69,2022-06-23T12:03:24Z,365.9,363.5,11.28,,,,,
70,2022-06-23T12:03:27Z,365.9,363.9,11.27,,,,,
71,2022-06-23T12:03:30Z,366,363.9,11.27,,,,,
72,2022-06-23T12:03:33Z,366,363.6,11.27,,,,,
73,2022-06-23T12:03:36Z,366,363.5,11.28,,,,,
74,2022-06-23T12:03:39Z,366,363.9,11.28,,,,,
75,2022-06-23T12:03:42Z,366,363.5,11.28,,,,,
76,2022-06-23T12:03:45Z,366,363.5,11.28,,,,,
77,2022-06-23T12:03:48Z,366,364.3,11.28,,,,,
