sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-10-03,14:35:00,0.0146,12.833,0.023,1.4422584,576.3,Reach length: 50m
2,2022-10-03,14:40:30,0.6523,17.315,0.023,1.12696613,613.5,"BOR HOBO: NA, HOR HOBO: NA"
3,2022-10-03,14:41:30,4.0059,13.871,NA,NA,760,"700 g NaCl, 200 g NH4Cl, 6L H2O"
4,2022-10-03,14:42:30,9.8713,NA,NA,NA,1044,"Injection start: 14:30:00 PST, injection end: 14:32:15 PST"
5,2022-10-03,14:43:00,13.5516,NA,NA,NA,1185,"BOR GPS: N 39.08685, W 119.93247; elevation: 6300 ft"
6,2022-10-03,14:43:30,18.0357,NA,NA,NA,1350,"HOR GPS: N 39.08681, W 119.93191; elevation: 6310 ft"
7,2022-10-03,14:44:00,19.5723,NA,NA,NA,1460,
8,2022-10-03,14:45:00,22.7408,11.923,NA,NA,1536,
9,2022-10-03,14:46:00,21.1423,NA,NA,NA,1482,
10,2022-10-03,14:47:00,16.9214,NA,NA,NA,1350,
11,2022-10-03,14:48:00,17.5197,NA,NA,NA,1212,Should be an NA ELH
12,2022-10-03,14:49:00,7.7397,12.115,NA,NA,990,
13,2022-10-03,14:51:00,7.7397,13.872,NA,NA,850,
14,2022-10-03,14:52:00,3.2601,NA,NA,NA,783,
15,2022-10-03,14:54:00,3.2393,NA,0.033,1.4015832,685.4,
16,2022-10-03,14:56:00,1.7206,NA,NA,NA,628.5,
17,2022-10-03,14:59:00,1.004,12.254,NA,NA,605.8,
18,2022-10-03,15:04:00,0.4416,11.518,NA,1.40788667,588.9,
19,2022-10-03,15:10:10,0.218,13.281,0.028,1.3637624,583,
HOR_1,2022-10-03,14:28:00,0.0166,15.862,0.03,NA,NA,
HOR_2,2022-10-03,14:58:00,0.0127,15.504,0.028,NA,NA,
Blank,2022-10-03,,0.0151,5.219,0.025,NA,NA,
