site,chamber,substrate,datetime,temp,vial no,pH,sample type (0hr/3hr/5hr),Notes,,Setup notes,
BW stream,1,300 mL H2O,2022-06-08 8:44:00,9.7,Nfix1,NA,0hr,,,N-fix data BW stream and nearshore,
BW stream,1,300 mL H2O,2022-06-08 12:00:00,10,Nfix17,NA,3hr,,,Aceteylene volume:,150 mL
BW stream,1,300 mL H2O,2022-06-08 14:38:00,12.6,Nfix32,7.75,5hr,,,gas sample volume,10 mL
BW stream,2,100 mL scrape 200mL H2O,2022-06-08 8:51:00,7.5,Nfix2,NA,0hr,,,Collection time:,10:00-13:00 om 2022-06-07
BW stream,2,100 mL scrape 200mL H2O,2022-06-08 12:02:00,10,Nfix18,NA,3hr,,,Incubation start time,10:00
BW stream,2,100 mL scrape 200mL H2O,2022-06-08 14:41:00,12.4,Nfix33,7.31,5hr,,,Incubation end time,14:30
BW stream,3,100 mL sediment 200mL H2O,2022-06-08 8:53:00,8.6,Nfix3,NA,0hr,,,Cold room started at 8 'C and set to 10 'C at 10:10,
BW stream,3,100 mL sediment 200mL H2O,2022-06-08 12:03:40,10,Nfix19,NA,3hr,,,PAR and temp data from hobo 21116494,
BW stream,3,100 mL sediment 200mL H2O,2022-06-08 14:43:00,12.5,Nfix34,7.26,5hr,,,,
BW outlet,4,300 mL H2O,2022-06-08 8:56:00,8.9,Nfix4,NA,0hr,,,,
BW outlet,4,300 mL H2O,2022-06-08 12:05:00,10,Nfix20,NA,3hr,,,,
BW outlet,4,300 mL H2O,2022-06-08 14:45:00,12.7,Nfix35,7.76,5hr,,,,
BW outlet,5,100 mL scrape 200 mL H2O,2022-06-08 8:58:00,7.9,Nfix5,NA,0hr,,,,
BW outlet,5,100 mL scrape 200 mL H2O,2022-06-08 12:07:00,10,Nfix21,NA,3hr,,,,
BW outlet,5,100 mL scrape 200 mL H2O,2022-06-08 14:47:00,12.3,Nfix36,7.2,5hr,,,,
BW outlet,6,100 mL sediment 200 mL H2O,2022-06-08 9:02:00,8.1,Nfix6,NA,0hr,,,,
BW outlet,6,100 mL sediment 200 mL H2O,2022-06-08 12:09:00,10,Nfix22,NA,3hr,,,,
BW outlet,6,100 mL sediment 200 mL H2O,2022-06-08 14:50:00,12.6,Nfix37,7.26,5hr,,,,
BW .5 m deep,7,300 mL H2O,2022-06-08 9:05:00,8.5,Nfix7,NA,0hr,,,,
BW .5 m deep,7,300 mL H2O,2022-06-08 12:11:00,10,Nfix23,NA,3hr,,,,
BW .5 m deep,7,300 mL H2O,2022-06-08 14:52:00,12.8,Nfix38,7.67,5hr,,,,
BW .5 m deep,8,100 mL scrape 200 mL H2O,2022-06-08 9:07:00,8.7,Nfix8,NA,0hr,,,,
BW .5 m deep,8,100 mL scrape 200 mL H2O,2022-06-08 12:15:00,10,Nfix24,NA,3hr,,,,
BW .5 m deep,8,100 mL scrape 200 mL H2O,2022-06-08 14:54:00,12.5,Nfix39,7.18,5hr,,,,
BW .5 m deep,9,100 mL sediment 200 mL H2O,2022-06-08 9:09:50,8.2,Nfix9,NA,0hr,,,,
BW .5 m deep,9,100 mL sediment 200 mL H2O,2022-06-08 12:16:00,10,Nfix25,NA,3hr,,,,
BW .5 m deep,9,100 mL sediment 200 mL H2O,2022-06-08 14:56:00,12.8,Nfix40,7.29,5hr,,,,
BW pool,10,300 mL H2O,2022-06-08 9:13:00,8.4,Nfix10,NA,0hr,,,,
BW pool,10,300 mL H2O,2022-06-08 12:17:00,10,Nfix26,NA,3hr,,,,
BW pool,10,300 mL H2O,2022-06-08 14:58:00,12.8,Nfix41,7.4,5hr,,,,
BW pool,11,100 mL scrape 200 mL H2O,2022-06-08 9:15:00,8.6,Nfix11,NA,0hr,,,,
BW pool,11,100 mL scrape 200 mL H2O,2022-06-08 12:19:00,10,Nfix27,NA,3hr,,,,
BW pool,11,100 mL scrape 200 mL H2O,2022-06-08 15:00:00,12.6,Nfix42,7.33,5hr,,,,
BW pool,12,100 mL sediment 200 mL H2O,2022-06-08 9:19:00,8.5,Nfix12,NA,0hr,,,,
BW pool,12,100 mL sediment 200 mL H2O,2022-06-08 12:21:00,10,Nfix28,NA,3hr,,,,
BW pool,12,100 mL sediment 200 mL H2O,2022-06-08 15:02:00,12.8,Nfix43,6.9,5hr,,,,
BWL,14,100 mL scrape 200 mL H2O,2022-06-08 9:22:00,8.7,Nfix14,NA,0hr,,,,
BWL,14,100 mL scrape 200 mL H2O,2022-06-08 12:22:00,10,Nfix29,NA,3hr,,,,
BWL,14,100 mL scrape 200 mL H2O,2022-06-08 15:04:00,12.7,Nfix44,7.44,5hr,,,,
BWL,15,100 mL sediment 200 mL H2O,2022-06-08 9:24:00,8.5,Nfix15,NA,0hr,,,,
BWL,15,100 mL sediment 200 mL H2O,2022-06-08 12:23:00,10,Nfix30,NA,3hr,,,,
BWL,15,100 mL sediment 200 mL H2O,2022-06-08 15:06:00,12.1,Nfix45,7,5hr,,,,
BW pool,16,"100 mL mat, 200 mL H2O",2022-06-08 9:27:00,8,Nfix16,NA,0hr,Floating cyano mat,,,
BW pool,16,"100 mL mat, 200 mL H2O",2022-06-08 12:24:00,10,Nfix31,NA,3hr,Floating cyano mat,,,
BW pool,16,"100 mL mat, 200 mL H2O",2022-06-08 15:08:00,12.8,Nfix46,7.37,5hr,Floating cyano mat,,,
