#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/07/2022 08:40:00,22.52,1.74,,,,
2,06/07/2022 08:40:10,22.48,1.74,,,,
3,06/07/2022 08:40:20,22.48,1.74,,,,
4,06/07/2022 08:40:30,22.48,1.74,,,,
5,06/07/2022 08:40:40,22.48,1.74,,,,
6,06/07/2022 08:40:50,22.48,1.94,,,,
7,06/07/2022 08:41:00,22.48,1.74,,,,
8,06/07/2022 08:41:10,22.43,1.55,,,,
9,06/07/2022 08:41:20,22.43,1.55,,,,
10,06/07/2022 08:41:30,22.39,1.55,,,,
11,06/07/2022 08:41:40,22.43,1.55,,,,
12,06/07/2022 08:41:50,22.48,1.55,,,,
13,06/07/2022 08:42:00,22.43,1.55,,,,
14,06/07/2022 08:42:10,22.43,1.55,,,,
15,06/07/2022 08:42:20,22.43,1.55,,,,
16,06/07/2022 08:42:30,22.43,1.55,,,,
17,06/07/2022 08:42:40,22.39,1.36,,,,
18,06/07/2022 08:42:50,22.39,1.36,,,,
19,06/07/2022 08:43:00,22.43,1.36,,,,
20,06/07/2022 08:43:10,22.39,1.36,,,,
21,06/07/2022 08:43:20,22.39,1.74,,,,
22,06/07/2022 08:43:30,22.39,1.74,,,,
23,06/07/2022 08:43:40,22.35,1.74,,,,
24,06/07/2022 08:43:50,22.39,1.55,,,,
25,06/07/2022 08:44:00,22.31,1.16,,,,
26,06/07/2022 08:44:10,22.35,1.36,,,,
27,06/07/2022 08:44:20,22.35,1.36,,,,
28,06/07/2022 08:44:30,22.39,1.55,,,,
29,06/07/2022 08:44:40,22.31,1.74,,,,
30,06/07/2022 08:44:50,22.31,1.55,,,,
31,06/07/2022 08:45:00,22.35,1.36,,,,
32,06/07/2022 08:45:10,22.31,1.36,,,,
33,06/07/2022 08:45:20,22.31,1.94,,,,
34,06/07/2022 08:45:30,22.31,1.74,,,,
35,06/07/2022 08:45:40,22.35,1.36,,,,
36,06/07/2022 08:45:50,22.35,1.74,,,,
37,06/07/2022 08:46:00,22.35,1.74,,,,
38,06/07/2022 08:46:10,22.31,0.58,,,,
39,06/07/2022 08:46:20,22.31,1.36,,,,
40,06/07/2022 08:46:30,22.26,1.16,,,,
41,06/07/2022 08:46:40,22.31,1.16,,,,
42,06/07/2022 08:46:50,22.31,3.49,,,,
43,06/07/2022 08:47:00,22.26,4.66,,,,
44,06/07/2022 08:47:10,22.26,1.94,,,,
45,06/07/2022 08:47:20,22.26,0.77,,,,
46,06/07/2022 08:47:30,22.31,0.77,,,,
47,06/07/2022 08:47:40,22.26,0.58,,,,
48,06/07/2022 08:47:50,22.31,1.55,,,,
49,06/07/2022 08:48:00,22.31,0.58,,,,
50,06/07/2022 08:48:10,22.26,3.88,,,,
51,06/07/2022 08:48:20,22.26,0.58,,,,
52,06/07/2022 08:48:30,22.26,0.58,,,,
53,06/07/2022 08:48:40,22.26,0.58,,,,
54,06/07/2022 08:48:50,22.26,0.58,,,,
55,06/07/2022 08:49:00,22.22,0.58,,,,
56,06/07/2022 08:49:10,22.26,0.58,,,,
57,06/07/2022 08:49:20,22.22,0.58,,,,
58,06/07/2022 08:49:30,22.22,0.58,,,,
59,06/07/2022 08:49:40,22.22,0.58,,,,
60,06/07/2022 08:49:50,22.26,0.58,,,,
61,06/07/2022 08:50:00,22.26,0.58,,,,
62,06/07/2022 08:50:10,22.26,0.58,,,,
63,06/07/2022 08:50:20,22.22,0.58,,,,
64,06/07/2022 08:50:30,22.22,0.58,,,,
65,06/07/2022 08:50:40,22.22,0.58,,,,
66,06/07/2022 08:50:50,22.22,0.58,,,,
67,06/07/2022 08:51:00,22.22,0.58,,,,
68,06/07/2022 08:51:10,22.22,0.58,,,,
69,06/07/2022 08:51:20,22.22,0.58,,,,
70,06/07/2022 08:51:30,22.22,0.58,,,,
71,06/07/2022 08:51:40,22.26,0.58,,,,
72,06/07/2022 08:51:50,22.22,0.58,,,,
73,06/07/2022 08:52:00,22.22,0.58,,,,
74,06/07/2022 08:52:10,22.18,0.77,,,,
75,06/07/2022 08:52:20,22.13,0.77,,,,
76,06/07/2022 08:52:30,22.18,0.58,,,,
77,06/07/2022 08:52:40,22.18,0.77,,,,
78,06/07/2022 08:52:50,22.18,0.77,,,,
79,06/07/2022 08:53:00,22.22,0.77,,,,
80,06/07/2022 08:53:10,22.18,0.77,,,,
81,06/07/2022 08:53:20,22.22,0.77,,,,
82,06/07/2022 08:53:30,22.18,0.77,,,,
83,06/07/2022 08:53:40,22.18,0.77,,,,
84,06/07/2022 08:53:50,22.18,0.77,,,,
85,06/07/2022 08:54:00,22.18,0.77,,,,
86,06/07/2022 08:54:10,22.18,0.77,,,,
87,06/07/2022 08:54:20,22.18,0.77,,,,
88,06/07/2022 08:54:30,22.18,0.77,,,,
89,06/07/2022 08:54:40,22.18,0.77,,,,
90,06/07/2022 08:54:50,22.13,0.77,,,,
91,06/07/2022 08:55:00,22.18,0.77,,,,
92,06/07/2022 08:55:10,22.18,0.77,,,,
93,06/07/2022 08:55:20,22.18,0.77,,,,
94,06/07/2022 08:55:30,22.18,0.77,,,,
95,06/07/2022 08:55:40,22.18,0.77,,,,
96,06/07/2022 08:55:50,22.13,0.77,,,,
97,06/07/2022 08:56:00,22.18,0.77,,,,
98,06/07/2022 08:56:10,22.13,0.77,,,,
99,06/07/2022 08:56:20,22.13,0.77,,,,
100,06/07/2022 08:56:30,22.13,0.77,,,,
101,06/07/2022 08:56:40,22.13,1.94,,,,
102,06/07/2022 08:56:50,22.13,1.94,,,,
103,06/07/2022 08:57:00,22.13,1.94,,,,
104,06/07/2022 08:57:10,22.13,4.27,,,,
105,06/07/2022 08:57:20,22.13,0.38,,,,
106,06/07/2022 08:57:30,22.18,0.38,,,,
107,06/07/2022 08:57:40,22.13,4.85,,,,
108,06/07/2022 08:57:50,22.13,3.30,,,,
109,06/07/2022 08:58:00,22.18,4.08,,,,
110,06/07/2022 08:58:10,22.13,1.55,,,,
111,06/07/2022 08:58:20,22.13,6.21,,,,
112,06/07/2022 08:58:30,22.13,4.66,,,,
113,06/07/2022 08:58:40,22.18,0.97,,,,
114,06/07/2022 08:58:50,22.18,0.97,,,,
115,06/07/2022 08:59:00,22.18,0.77,,,,
116,06/07/2022 08:59:10,22.13,0.77,,,,
117,06/07/2022 08:59:20,22.13,3.49,,,,
118,06/07/2022 08:59:30,22.13,2.52,,,,
119,06/07/2022 08:59:40,22.13,5.24,,,,
120,06/07/2022 08:59:50,22.18,7.18,,,,
121,06/07/2022 09:00:00,22.22,1.36,,,,
122,06/07/2022 09:00:10,22.13,1.36,,,,
123,06/07/2022 09:00:20,22.13,1.55,,,,
124,06/07/2022 09:00:30,22.18,6.21,,,,
125,06/07/2022 09:00:40,22.18,5.82,,,,
126,06/07/2022 09:00:50,22.18,5.63,,,,
127,06/07/2022 09:01:00,22.13,7.77,,,,
128,06/07/2022 09:01:10,22.13,5.63,,,,
129,06/07/2022 09:01:20,22.18,1.36,,,,
130,06/07/2022 09:01:30,22.18,1.16,,,,
131,06/07/2022 09:01:40,22.13,0.58,,,,
132,06/07/2022 09:01:50,22.18,2.13,,,,
133,06/07/2022 09:02:00,22.18,4.27,,,,
134,06/07/2022 09:02:10,22.13,5.44,,,,
135,06/07/2022 09:02:20,22.22,6.41,,,,
136,06/07/2022 09:02:30,22.13,6.21,,,,
137,06/07/2022 09:02:40,22.13,3.49,,,,
138,06/07/2022 09:02:50,22.18,7.96,,,,
139,06/07/2022 09:03:00,22.13,4.27,,,,
140,06/07/2022 09:03:10,22.18,6.41,,,,
141,06/07/2022 09:03:20,22.18,9.32,,,,
142,06/07/2022 09:03:30,22.13,1.55,,,,
143,06/07/2022 09:03:40,22.13,3.49,,,,
144,06/07/2022 09:03:50,22.18,2.33,,,,
145,06/07/2022 09:04:00,22.18,2.13,,,,
146,06/07/2022 09:04:10,22.13,0.97,,,,
147,06/07/2022 09:04:20,22.13,1.16,,,,
148,06/07/2022 09:04:30,22.18,1.16,,,,
149,06/07/2022 09:04:40,22.22,1.16,,,,
150,06/07/2022 09:04:50,22.18,0.77,,,,
151,06/07/2022 09:05:00,22.18,0.77,,,,
152,06/07/2022 09:05:10,22.18,1.16,,,,
153,06/07/2022 09:05:20,22.18,9.90,,,,
154,06/07/2022 09:05:30,22.13,3.30,,,,
155,06/07/2022 09:05:40,22.18,0.97,,,,
156,06/07/2022 09:05:50,22.13,0.97,,,,
157,06/07/2022 09:06:00,22.13,1.36,,,,
158,06/07/2022 09:06:10,22.13,5.24,,,,
159,06/07/2022 09:06:20,22.18,4.08,,,,
160,06/07/2022 09:06:30,22.13,1.55,,,,
161,06/07/2022 09:06:40,22.13,0.77,,,,
162,06/07/2022 09:06:50,22.18,0.97,,,,
163,06/07/2022 09:07:00,22.18,1.94,,,,
164,06/07/2022 09:07:10,22.13,5.05,,,,
165,06/07/2022 09:07:20,22.18,6.60,,,,
166,06/07/2022 09:07:30,22.13,6.60,,,,
167,06/07/2022 09:07:40,22.18,6.80,,,,
168,06/07/2022 09:07:50,22.13,6.80,,,,
169,06/07/2022 09:08:00,22.13,6.80,,,,
170,06/07/2022 09:08:10,22.13,6.99,,,,
171,06/07/2022 09:08:20,22.09,6.21,,,,
172,06/07/2022 09:08:30,22.18,5.44,,,,
173,06/07/2022 09:08:40,22.18,2.13,,,,
174,06/07/2022 09:08:50,22.13,0.97,,,,
175,06/07/2022 09:09:00,22.13,0.77,,,,
176,06/07/2022 09:09:10,22.18,0.58,,,,
177,06/07/2022 09:09:20,22.09,0.77,,,,
178,06/07/2022 09:09:30,22.13,1.36,,,,
179,06/07/2022 09:09:40,22.13,0.97,,,,
180,06/07/2022 09:09:50,22.18,0.77,,,,
181,06/07/2022 09:10:00,22.09,1.36,,,,
182,06/07/2022 09:10:10,22.13,4.27,,,,
183,06/07/2022 09:10:20,22.13,1.55,,,,
184,06/07/2022 09:10:30,22.13,0.58,,,,
185,06/07/2022 09:10:40,22.13,0.38,,,,
186,06/07/2022 09:10:50,22.13,0.58,,,,
187,06/07/2022 09:11:00,22.13,1.16,,,,
188,06/07/2022 09:11:10,22.09,0.77,,,,
189,06/07/2022 09:11:20,22.05,0.77,,,,
190,06/07/2022 09:11:30,22.09,0.58,,,,
191,06/07/2022 09:11:40,22.13,0.77,,,,
192,06/07/2022 09:11:50,22.09,0.58,,,,
193,06/07/2022 09:12:00,22.09,0.58,,,,
194,06/07/2022 09:12:10,22.09,0.77,,,,
195,06/07/2022 09:12:20,22.05,0.58,,,,
196,06/07/2022 09:12:30,22.09,0.58,,,,
197,06/07/2022 09:12:40,22.05,0.58,,,,
198,06/07/2022 09:12:50,22.09,0.38,,,,
199,06/07/2022 09:13:00,22.09,0.77,,,,
200,06/07/2022 09:13:10,22.05,0.38,,,,
201,06/07/2022 09:13:20,22.05,0.58,,,,
202,06/07/2022 09:13:30,22.05,0.58,,,,
203,06/07/2022 09:13:40,22.05,0.58,,,,
204,06/07/2022 09:13:50,22.05,0.58,,,,
205,06/07/2022 09:14:00,22.01,0.58,,,,
206,06/07/2022 09:14:10,22.01,0.97,,,,
207,06/07/2022 09:14:20,22.01,0.58,,,,
208,06/07/2022 09:14:30,22.05,0.77,,,,
209,06/07/2022 09:14:40,22.05,0.77,,,,
210,06/07/2022 09:14:50,22.01,0.58,,,,
211,06/07/2022 09:15:00,22.01,0.97,,,,
212,06/07/2022 09:15:10,22.01,7.57,,,,
213,06/07/2022 09:15:20,22.01,9.90,,,,
214,06/07/2022 09:15:30,22.01,4.27,,,,
215,06/07/2022 09:15:40,21.96,6.02,,,,
216,06/07/2022 09:15:50,22.01,3.88,,,,
217,06/07/2022 09:16:00,21.96,6.02,,,,
218,06/07/2022 09:16:10,21.92,1.16,,,,
219,06/07/2022 09:16:20,22.01,0.58,,,,
220,06/07/2022 09:16:30,22.01,1.36,,,,
221,06/07/2022 09:16:40,21.96,7.38,,,,
222,06/07/2022 09:16:50,21.96,4.46,,,,
223,06/07/2022 09:17:00,21.96,4.27,,,,
224,06/07/2022 09:17:10,21.96,4.08,,,,
225,06/07/2022 09:17:20,21.92,3.49,,,,
226,06/07/2022 09:17:30,21.96,2.13,,,,
227,06/07/2022 09:17:40,21.96,1.16,,,,
228,06/07/2022 09:17:50,21.96,1.74,,,,
229,06/07/2022 09:18:00,21.92,2.91,,,,
230,06/07/2022 09:18:10,21.92,0.97,,,,
231,06/07/2022 09:18:20,21.92,1.55,,,,
232,06/07/2022 09:18:30,21.92,1.94,,,,
233,06/07/2022 09:18:40,21.92,1.55,,,,
234,06/07/2022 09:18:50,21.88,2.52,,,,
235,06/07/2022 09:19:00,21.92,7.38,,,,
236,06/07/2022 09:19:10,21.88,6.02,,,,
237,06/07/2022 09:19:20,21.92,2.13,,,,
238,06/07/2022 09:19:30,21.88,6.41,,,,
239,06/07/2022 09:19:40,21.88,9.32,,,,
240,06/07/2022 09:19:50,21.88,2.13,,,,
241,06/07/2022 09:20:00,21.83,1.55,,,,
242,06/07/2022 09:20:10,21.83,1.16,,,,
243,06/07/2022 09:20:20,21.83,1.94,,,,
244,06/07/2022 09:20:30,21.83,1.55,,,,
245,06/07/2022 09:20:40,21.83,1.36,,,,
246,06/07/2022 09:20:50,21.83,0.77,,,,
247,06/07/2022 09:21:00,21.79,12.26,,,,
248,06/07/2022 09:21:10,21.79,1.74,,,,
249,06/07/2022 09:21:20,21.83,1.94,,,,
250,06/07/2022 09:21:30,21.79,7.57,,,,
251,06/07/2022 09:21:40,21.79,2.91,,,,
252,06/07/2022 09:21:50,21.79,1.94,,,,
253,06/07/2022 09:22:00,21.79,1.94,,,,
254,06/07/2022 09:22:10,21.79,10.88,,,,
255,06/07/2022 09:22:20,21.79,8.35,,,,
256,06/07/2022 09:22:30,21.79,0.58,,,,
257,06/07/2022 09:22:40,21.75,0.58,,,,
258,06/07/2022 09:22:50,21.70,6.60,,,,
259,06/07/2022 09:23:00,21.75,0.77,,,,
260,06/07/2022 09:23:10,21.75,0.58,,,,
261,06/07/2022 09:23:20,21.75,0.77,,,,
262,06/07/2022 09:23:30,21.66,0.77,,,,
263,06/07/2022 09:23:40,21.70,0.77,,,,
264,06/07/2022 09:23:50,21.70,0.77,,,,
265,06/07/2022 09:24:00,21.70,0.77,,,,
266,06/07/2022 09:24:10,21.70,0.77,,,,
267,06/07/2022 09:24:20,21.70,11.19,,,,
268,06/07/2022 09:24:30,21.66,11.19,,,,
269,06/07/2022 09:24:40,21.66,11.39,,,,
270,06/07/2022 09:24:50,21.70,12.19,,,,
271,06/07/2022 09:25:00,21.66,10.20,,,,
272,06/07/2022 09:25:10,21.70,12.99,,,,
273,06/07/2022 09:25:20,21.62,12.19,,,,
274,06/07/2022 09:25:30,21.62,890.56,,,,
275,06/07/2022 09:25:40,21.62,899.84,,,,
276,06/07/2022 09:25:50,21.62,190.16,,,,
277,06/07/2022 09:26:00,21.62,183.20,,,,
278,06/07/2022 09:26:10,21.58,51.00,,,,
279,06/07/2022 09:26:20,21.53,6.67,,,,
280,06/07/2022 09:26:30,21.45,6.65,,,,
281,06/07/2022 09:26:40,21.40,5.68,,,,
282,06/07/2022 09:26:50,21.40,6.26,,,,
283,06/07/2022 09:27:00,21.32,3.30,,,,
284,06/07/2022 09:27:10,21.32,21.10,,,,
285,06/07/2022 09:27:20,21.28,12.87,,,,
286,06/07/2022 09:27:30,21.19,10.73,,,,
287,06/07/2022 09:27:40,21.15,4.08,,,,
