"","datetime","temp.obs","light.obs","time","location","depth"
"332",2022-06-07 09:35:10,28.53,76472.32,"09:35:10","surface",0
"333",2022-06-07 09:35:20,28.65,76636.16,"09:35:20","surface",0
"334",2022-06-07 09:35:30,28.83,75837.44,"09:35:30","surface",0
"335",2022-06-07 09:35:40,28.91,73809.92,"09:35:40","surface",0
"336",2022-06-07 09:35:50,29,73605.12,"09:35:50","surface",0
"337",2022-06-07 09:36:00,29.08,75755.52,"09:36:00","surface",0
"338",2022-06-07 09:36:10,29.17,76042.24,"09:36:10","surface",0
"339",2022-06-07 09:36:20,29.3,77107.2,"09:36:20","surface",0
"340",2022-06-07 09:36:30,29.43,76718.08,"09:36:30","surface",0
"341",2022-06-07 09:36:40,29.51,76513.28,"09:36:40","surface",0
"342",2022-06-07 09:36:50,29.64,76615.68,"09:36:50","surface",0
"343",2022-06-07 09:37:00,29.68,76820.48,"09:37:00","surface",0
"344",2022-06-07 09:37:10,29.81,76759.04,"09:37:10","surface",0
"345",2022-06-07 09:37:20,29.86,76636.16,"09:37:20","surface",0
"346",2022-06-07 09:37:30,29.86,76697.6,"09:37:30","surface",0
"347",2022-06-07 09:37:40,29.9,76615.68,"09:37:40","surface",0
"348",2022-06-07 09:37:50,29.94,76718.08,"09:37:50","surface",0
"349",2022-06-07 09:38:00,29.98,76001.28,"09:38:00","surface",0
"350",2022-06-07 09:38:10,29.98,75223.04,"09:38:10","surface",0
"351",2022-06-07 09:38:20,30.07,75202.56,"09:38:20","surface",0
"352",2022-06-07 09:38:30,30.11,75141.12,"09:38:30","surface",0
"353",2022-06-07 09:38:40,30.2,77189.12,"09:38:40","surface",0
"354",2022-06-07 09:38:50,30.33,77434.88,"09:38:50","surface",0
"355",2022-06-07 09:39:00,30.41,77885.44,"09:39:00","surface",0
"356",2022-06-07 09:39:10,30.5,78110.72,"09:39:10","surface",0
"357",2022-06-07 09:39:20,30.59,78110.72,"09:39:20","surface",0
"358",2022-06-07 09:39:30,30.67,78213.12,"09:39:30","surface",0
"359",2022-06-07 09:39:40,30.71,77926.4,"09:39:40","surface",0
"360",2022-06-07 09:39:50,30.8,77864.96,"09:39:50","surface",0
"361",2022-06-07 09:40:00,30.8,77987.84,"09:40:00","surface",0
"362",2022-06-07 09:40:10,30.84,78008.32,"09:40:10","surface",0
"363",2022-06-07 09:40:20,30.89,77987.84,"09:40:20","surface",0
"364",2022-06-07 09:40:30,30.93,78028.8,"09:40:30","surface",0
"365",2022-06-07 09:40:40,30.97,78233.6,"09:40:40","surface",0
"366",2022-06-07 09:40:50,30.97,77783.04,"09:40:50","surface",0
"367",2022-06-07 09:41:00,31.06,77926.4,"09:41:00","surface",0
"368",2022-06-07 09:41:10,31.1,78151.68,"09:41:10","surface",0
"369",2022-06-07 09:41:20,31.14,78069.76,"09:41:20","surface",0
"370",2022-06-07 09:41:30,31.23,77987.84,"09:41:30","surface",0
"371",2022-06-07 09:41:40,31.23,78213.12,"09:41:40","surface",0
"372",2022-06-07 09:41:50,31.36,78131.2,"09:41:50","surface",0
"373",2022-06-07 09:42:00,31.44,78213.12,"09:42:00","surface",0
"374",2022-06-07 09:42:10,31.4,78336,"09:42:10","surface",0
"375",2022-06-07 09:42:20,31.4,78663.68,"09:42:20","surface",0
"376",2022-06-07 09:42:30,31.4,79052.8,"09:42:30","surface",0
"377",2022-06-07 09:42:40,31.44,79134.72,"09:42:40","surface",0
"378",2022-06-07 09:42:50,31.44,79134.72,"09:42:50","surface",0
"379",2022-06-07 09:43:00,31.44,79237.12,"09:43:00","surface",0
"380",2022-06-07 09:43:10,31.44,79380.48,"09:43:10","surface",0
"381",2022-06-07 09:43:20,31.49,79523.84,"09:43:20","surface",0
"382",2022-06-07 09:43:30,31.49,79646.72,"09:43:30","surface",0
"383",2022-06-07 09:43:40,31.49,79769.6,"09:43:40","surface",0
"384",2022-06-07 09:43:50,31.53,78131.2,"09:43:50","surface",0
"385",2022-06-07 09:44:00,31.53,78131.2,"09:44:00","surface",0
"386",2022-06-07 09:44:10,31.61,77332.48,"09:44:10","surface",0
"387",2022-06-07 09:44:20,31.66,75182.08,"09:44:20","surface",0
"388",2022-06-07 09:44:30,31.7,77373.44,"09:44:30","surface",0
"389",2022-06-07 09:44:40,31.74,73400.32,"09:44:40","surface",0
"390",2022-06-07 09:44:50,31.7,70123.52,"09:44:50","surface",0
"391",2022-06-07 09:45:00,31.7,73441.28,"09:45:00","surface",0
"392",2022-06-07 09:45:10,31.66,74321.92,"09:45:10","surface",0
"393",2022-06-07 09:45:20,31.66,74403.84,"09:45:20","surface",0
"394",2022-06-07 09:45:30,31.53,73502.72,"09:45:30","surface",0
"395",2022-06-07 09:45:40,31.53,77414.4,"09:45:40","surface",0
"396",2022-06-07 09:45:50,31.49,76800,"09:45:50","surface",0
"397",2022-06-07 09:46:00,31.49,75816.96,"09:46:00","surface",0
"398",2022-06-07 09:46:10,31.53,76984.32,"09:46:10","surface",0
"399",2022-06-07 09:46:20,31.49,76840.96,"09:46:20","surface",0
"400",2022-06-07 09:46:30,31.4,77107.2,"09:46:30","surface",0
"401",2022-06-07 09:46:40,31.4,77639.68,"09:46:40","surface",0
"402",2022-06-07 09:46:50,31.4,77025.28,"09:46:50","surface",0
"640",2022-06-07 10:26:30,15.91,658.24,"10:26:30","BWNS2",3
"641",2022-06-07 10:26:40,15.53,307.12,"10:26:40","BWNS2",3
"642",2022-06-07 10:26:50,15.1,489.12,"10:26:50","BWNS2",3
"643",2022-06-07 10:27:00,14.93,402.88,"10:27:00","BWNS2",3
"644",2022-06-07 10:27:10,14.75,1118.4,"10:27:10","BWNS2",3
"645",2022-06-07 10:27:20,14.63,1346.56,"10:27:20","BWNS2",3
"646",2022-06-07 10:27:30,14.54,450.4,"10:27:30","BWNS2",3
"647",2022-06-07 10:27:40,14.5,1774.72,"10:27:40","BWNS2",3
"1003",2022-06-07 11:27:00,14.75,2635.52,"11:27:00","10m",9
"1004",2022-06-07 11:27:10,14.58,1921.28,"11:27:10","10m",9
"1005",2022-06-07 11:27:20,14.45,1450.24,"11:27:20","10m",9
"1006",2022-06-07 11:27:30,14.45,2772.48,"11:27:30","10m",9
"1007",2022-06-07 11:27:40,14.5,5721.6,"11:27:40","10m",9
"1008",2022-06-07 11:27:50,14.75,737.28,"11:27:50","10m",9
"1009",2022-06-07 11:28:00,14.71,685.12,"11:28:00","10m",9
"1010",2022-06-07 11:28:10,14.8,3347.2,"11:28:10","10m",9
"1030",2022-06-07 11:31:30,14.8,13127.68,"11:31:30","10m",5
"1031",2022-06-07 11:31:40,14.58,8709.12,"11:31:40","10m",5
"1032",2022-06-07 11:31:50,14.58,8865.28,"11:31:50","10m",5
"1033",2022-06-07 11:32:00,14.58,4413.44,"11:32:00","10m",5
"1034",2022-06-07 11:32:10,14.45,2404.48,"11:32:10","10m",5
"1035",2022-06-07 11:32:20,14.45,7746.56,"11:32:20","10m",5
"1051",2022-06-07 11:35:00,15.18,13178.88,"11:35:00","10m",1
"1052",2022-06-07 11:35:10,14.93,3251.2,"11:35:10","10m",1
"1053",2022-06-07 11:35:20,14.8,7982.08,"11:35:20","10m",1
"1054",2022-06-07 11:35:30,14.63,1535.36,"11:35:30","10m",1
"1055",2022-06-07 11:35:40,14.67,2302.08,"11:35:40","10m",1
"1056",2022-06-07 11:35:50,14.71,5132.8,"11:35:50","10m",1
"1057",2022-06-07 11:36:00,14.8,10339.84,"11:36:00","10m",1
"1058",2022-06-07 11:36:10,14.8,1921.28,"11:36:10","10m",1
"1191",2022-06-07 11:58:20,16.99,12113.92,"11:58:20","15m",14
"1192",2022-06-07 11:58:30,16.86,7229.44,"11:58:30","15m",14
"1193",2022-06-07 11:58:40,16.77,17044.48,"11:58:40","15m",14
"1194",2022-06-07 11:58:50,16.77,8709.12,"11:58:50","15m",14
"1195",2022-06-07 11:59:00,16.69,4759.04,"11:59:00","15m",14
"1196",2022-06-07 11:59:10,16.64,8012.8,"11:59:10","15m",14
"1197",2022-06-07 11:59:20,16.73,8391.68,"11:59:20","15m",14
"1214",2022-06-07 12:02:10,15.96,24524.8,"12:02:10","15m",7
"1215",2022-06-07 12:02:20,15.7,4734.72,"12:02:20","15m",7
"1216",2022-06-07 12:02:30,15.96,16435.2,"12:02:30","15m",7
"1217",2022-06-07 12:02:40,15.74,16604.16,"12:02:40","15m",7
"1218",2022-06-07 12:02:50,16.13,7037.44,"12:02:50","15m",7
"1219",2022-06-07 12:03:00,15.83,6584.32,"12:03:00","15m",7
"1220",2022-06-07 12:03:10,15.83,3238.4,"12:03:10","15m",7
"1221",2022-06-07 12:03:20,16,17064.96,"12:03:20","15m",7
"1233",2022-06-07 12:05:20,16.56,22548.48,"12:05:20","15m",1
"1234",2022-06-07 12:05:30,16.56,21207.04,"12:05:30","15m",1
"1235",2022-06-07 12:05:40,16.47,17587.2,"12:05:40","15m",1
"1236",2022-06-07 12:05:50,16.56,8281.6,"12:05:50","15m",1
"1237",2022-06-07 12:06:00,16.43,9226.24,"12:06:00","15m",1
"1238",2022-06-07 12:06:10,16.6,9753.6,"12:06:10","15m",1
"1239",2022-06-07 12:06:20,16.51,9287.68,"12:06:20","15m",1
"1240",2022-06-07 12:06:30,16.64,12257.28,"12:06:30","15m",1
"1400",2022-06-07 12:32:50,16.13,1864.96,"12:32:50","20m",19
"1401",2022-06-07 12:33:00,15.91,6179.84,"12:33:00","20m",19
"1402",2022-06-07 12:33:10,15.78,5079.04,"12:33:10","20m",19
"1403",2022-06-07 12:33:20,15.87,5524.48,"12:33:20","20m",19
"1404",2022-06-07 12:33:30,15.87,6814.72,"12:33:30","20m",19
"1405",2022-06-07 12:33:40,16.08,17843.2,"12:33:40","20m",19
"1406",2022-06-07 12:33:50,16,7503.36,"12:33:50","20m",19
"1407",2022-06-07 12:34:00,16.08,13967.36,"12:34:00","20m",19
"1408",2022-06-07 12:34:10,16.21,4448,"12:34:10","20m",19
"1409",2022-06-07 12:34:20,16.34,11924.48,"12:34:20","20m",19
"1410",2022-06-07 12:34:30,16.47,3712,"12:34:30","20m",19
"1411",2022-06-07 12:34:40,16.47,9784.32,"12:34:40","20m",19
"1372",2022-06-07 12:28:10,17.59,7354.88,"12:28:10","20m",10
"1373",2022-06-07 12:28:20,17.03,11806.72,"12:28:20","20m",10
"1374",2022-06-07 12:28:30,16.43,22661.12,"12:28:30","20m",10
"1375",2022-06-07 12:28:40,15.74,3683.84,"12:28:40","20m",10
"1354",2022-06-07 12:25:10,16.51,23296,"12:25:10","20m",1
"1355",2022-06-07 12:25:20,16.3,21258.24,"12:25:20","20m",1
"1356",2022-06-07 12:25:30,16.43,21657.6,"12:25:30","20m",1
"1357",2022-06-07 12:25:40,16.51,23418.88,"12:25:40","20m",1
"1358",2022-06-07 12:25:50,16.34,2650.88,"12:25:50","20m",1
"1359",2022-06-07 12:26:00,16.26,6563.84,"12:26:00","20m",1
"1360",2022-06-07 12:26:10,16.3,6210.56,"12:26:10","20m",1
