#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/20/2022 14:48:37,23.21,76718.08,,,,
2,06/20/2022 14:49:37,27.15,67133.44,,,,
3,06/20/2022 14:50:37,30.24,79646.72,,,,
4,06/20/2022 14:51:37,33.07,79503.36,,,,
5,06/20/2022 14:52:37,35.56,79523.84,,,,
6,06/20/2022 14:53:37,37.41,79892.48,,,,
7,06/20/2022 14:54:37,38.52,73748.48,,,,
8,06/20/2022 14:55:37,38.14,49090.56,,,,
9,06/20/2022 14:56:37,38.31,62935.04,,,,
10,06/20/2022 14:57:37,38.56,66437.12,,,,
11,06/20/2022 14:58:37,38.44,63303.68,,,,
12,06/20/2022 14:59:37,38.39,50831.36,,,,
13,06/20/2022 15:00:37,38.01,46469.12,,,,
14,06/20/2022 15:01:37,36.93,35911.68,,,,
15,06/20/2022 15:02:37,35.65,28620.80,,,,
16,06/20/2022 15:03:37,34.57,28508.16,,,,
17,06/20/2022 15:04:37,34.19,26664.96,,,,
18,06/20/2022 15:05:37,34.15,24023.04,,,,
19,06/20/2022 15:06:37,33.93,22272.00,,,,
20,06/20/2022 15:07:37,33.85,25262.08,,,,
21,06/20/2022 15:08:37,33.55,23592.96,,,,
22,06/20/2022 15:09:37,33.37,21463.04,,,,
23,06/20/2022 15:10:37,33.12,20884.48,,,,
24,06/20/2022 15:11:37,33.03,21381.12,,,,
25,06/20/2022 15:12:37,32.90,19261.44,,,,
26,06/20/2022 15:13:37,32.64,20807.68,,,,
27,06/20/2022 15:14:37,32.52,24176.64,,,,
28,06/20/2022 15:15:37,32.73,35205.12,,,,
29,06/20/2022 15:16:37,33.07,36986.88,,,,
30,06/20/2022 15:17:37,33.42,27934.72,,,,
31,06/20/2022 15:18:37,32.90,23992.32,,,,
32,06/20/2022 15:19:37,32.00,21094.40,,,,
33,06/20/2022 15:20:37,31.53,21698.56,,,,
34,06/20/2022 15:21:37,31.61,34365.44,,,,
35,06/20/2022 15:22:37,32.39,45649.92,,,,
36,06/20/2022 15:23:37,32.86,33853.44,,,,
37,06/20/2022 15:24:37,33.42,55377.92,,,,
38,06/20/2022 15:25:37,35.35,71229.44,,,,
39,06/20/2022 15:26:37,35.82,49356.80,,,,
40,06/20/2022 15:27:37,36.59,66826.24,,,,
41,06/20/2022 15:28:37,37.66,79831.04,,,,
42,06/20/2022 15:29:37,38.56,79872.00,,,,
43,06/20/2022 15:30:37,39.51,80977.92,,,,
44,06/20/2022 15:31:37,40.11,80752.64,,,,
45,06/20/2022 15:32:37,40.88,79831.04,,,,
46,06/20/2022 15:33:37,41.35,78684.16,,,,
47,06/20/2022 15:34:37,42.38,77803.52,,,,
48,06/20/2022 15:35:37,43.41,77107.20,,,,
49,06/20/2022 15:36:37,44.14,76349.44,,,,
50,06/20/2022 15:37:37,44.87,75632.64,,,,
51,06/20/2022 15:38:37,45.64,74956.80,,,,
52,06/20/2022 15:39:37,46.07,74649.60,,,,
53,06/20/2022 15:40:37,45.73,74383.36,,,,
54,06/20/2022 15:41:37,45.56,72294.40,,,,
55,06/20/2022 15:42:37,45.21,64184.32,,,,
56,06/20/2022 15:43:37,44.31,60047.36,,,,
57,06/20/2022 15:44:37,43.80,63815.68,,,,
58,06/20/2022 15:45:37,43.24,49766.40,,,,
59,06/20/2022 15:46:37,42.17,41963.52,,,,
60,06/20/2022 15:47:37,41.87,46837.76,,,,
61,06/20/2022 15:48:37,40.62,26818.56,,,,
62,06/20/2022 15:49:37,40.11,47984.64,,,,
63,06/20/2022 15:50:37,40.75,60702.72,,,,
64,06/20/2022 15:51:37,41.35,47677.44,,,,
65,06/20/2022 15:52:37,41.22,57917.44,,,,
66,06/20/2022 15:53:37,42.08,56258.56,,,,
67,06/20/2022 15:54:37,41.70,163.20,,,,
68,06/20/2022 15:55:25,,,Logged,,,
69,06/20/2022 15:55:26,,,,Logged,,
70,06/20/2022 15:55:29,,,,,Logged,
71,06/20/2022 15:55:37,38.78,439.04,,,,Logged
