label,AQ_label,site,date,grams soil,mL DI H2O,NO2_NO3_H2O_mgL,NO3 rerun,NH4_mgL,PO4_ugL,Notes
,Glenbrook lower_PW_210722_N9,Glenbrook lower,7/22/21,,,0.671,,,,
,Glenbrook lower_PW_210722_N10,Glenbrook lower,7/22/21,,,0.887,,,,
,Blackwood lower_PW_210728lk,Blackwood lower,7/28/21,,,0.026,,,,
,Blackwood lower_PW_210728_N0,Blackwood lower,7/28/21,,,0.033,,,,
,Blackwood lower_PW_210728_N1,Blackwood lower,7/28/21,,,0.063,,,,
,Blackwood lower_PW_210728_N5,Blackwood lower,7/28/21,,,0.215,,,,
Coldst_211022_FI,Coldst_211022_F,Cold Creek Station,10/22/21,5,50,0.01,,0.123,,
FI_10,Saxon_211022_FI10,Saxon Creek,10/22/21,5,50,0.019,,0.1931,21.091,
FI_11,Troutst_211022_FI11,Trout Creek Station 1,10/22/21,5,50,0.03,,0.2572,152.293,
FI_15,UPtrout_211022_FI15,Trout Creek Burn,10/22/21,5,50,0.015,,0.0795,31.945,
FI_16,Troutst2_211022_FI16,Trout Creek Station 2,10/22/21,5,50,0.016,,0.0835,21.291,
FI_13,UPTst1_211027_FI13,Upper Truckee Station 1,10/27/21,5,50,0.062,,0.4687,178.788,
FI_14,UPTst2_211027_FI14,Upper Truckee Station 2,10/27/21,5,50,0.038,,0.2723,23.5,
FI_17,Coldst_211027_FI17,Cold Creek Station,10/27/21,5,50,0.013,,0.1707,,
FI_18,Troutst2_211027_FI18,Trout Creek Station 2,10/27/21,5,50,0.022,,,,
FI_19,UPTburn_211027_FI19,Upper Truckee Burn,10/27/21,5,50,0.039,,0.0599,22.388,
FI_20,UPTmidreach_211027_FI20,Upper Truckee Midreach,10/27/21,5,50,0.025,,0.0648,16.806,
,BW_PW_20m_20211029,BW20m,10/29/21,,,0.006,,,,
,GB_PW_20m_20211029,GB20m,10/29/21,,,0.084,,,,
,GB_PW_15m_20211029,GB15m,10/29/21,,,0.012,,,,
FI_27,SouthLake1_211029_FI27,South Lake 1,10/29/21,5,50,0.01,,0.1704,27.609,
