"","site_no","date","time","wtemp","baro_mmHg","discharge_ft3","gage_ft","SpC","DOmgL","pH","TN","NH3","NO3","OrthoP_PO4","OrthoP_P","TP","TP_lbsP","TN_lbsN","TSS","SuspSed_mgL","SuspSed_discharge","ironUF","ironF","site"
"99877","10336676","2020-01-06","10:45",0,609,2.9,5.33,66,11.6,NA,0.04,0.04,0.004,0.032,0.011,0.02," 0.31"," 0.63",0.0011,2," 0.02",NA,NA,"Ward"
"99878","10336676","2020-02-06","14:45",0,605,4.8,5.39,61,12.1,NA,0.08,0.08,0.003,0.028,0.009,0.021," 0.54"," 2.07",0.0015,2," 0.03",NA,NA,"Ward"
"99879","10336676","2020-03-03","11:55",2,603,7.2,5.43,56,11,7.6,0.04,0.04,0.002,0.024,0.008,0.015," 0.58"," 1.55",NA,2,"A 0.04",NA,NA,"Ward"
"99880","10336676","2020-04-09","12:10",3,600,13,5.58,55,10.7,NA,0.06,0.06,0.003,0.019,0.006,0.012," 0.84"," 4.21",NA,2,"A 0.07",NA,NA,"Ward"
"99881","10336676","2020-04-17","12:00",4.5,600,35,5.88,46,10.5,NA,0.1,0.09,0.01,0.015,0.005,0.012," 2.27"," 18.9",NA,4,"A 0.38",NA,NA,"Ward"
"99882","10336676","2020-04-22","19:00",4.5,605,62,6.1,41,10.6,NA,0.32,0.31,0.014,0.017,0.005,0.044," 14.7"," 107",NA,50,"A 8.4",NA,NA,"Ward"
"99883","10336676","2020-04-29","11:37",5,605,87,6.26,35,10.4,NA,0.27,0.24,0.03,0.015,0.005,0.015," 7.04"," 127",NA,9,"A 2.1",NA,NA,"Ward"
"99884","10336676","2020-05-08","10:30",5,604,54,6.05,37,10.2,NA,0.07,0.06,0.007,0.012,0.004,0.013," 3.79"," 20.4",NA,4,"A 0.58",NA,NA,"Ward"
"99885","10336676","2020-05-18","11:40",3.5,NA,117,6.41,32,NA,NA,0.16,0.14,0.02,0.016,0.005,0.037," 23.3"," 101",NA,22,"A 6.9",NA,NA,"Ward"
"99886","10336676","2020-05-19","11:20",4.5,599,70,6.16,36,NA,NA,0.05,0.04,0.007,0.013,0.004,0.018," 6.80"," 18.9",NA,6,"A 1.1",NA,NA,"Ward"
"99887","10336676","2020-05-28","11:35",8,605,58,6.09,33,9.4,NA,0.05,0.05,0.002,0.008,0.003,0.017," 5.32"," 15.6",NA,5,"A 0.78",NA,NA,"Ward"
"99888","10336676","2020-06-02","09:55",6,605,44,5.97,35,10,NA,0.13,0.13,0.002,0.012,0.004,0.017," 4.03"," 30.9",NA,4,"A 0.48",NA,NA,"Ward"
"99889","10336676","2020-06-09","13:35",12,606,23,5.75,40,8.5,7.4,0.06,0.05,0.002,0.014,0.004,0.015," 1.86"," 7.44",NA,5,"A 0.31",NA,NA,"Ward"
"99890","10336676","2020-07-07","12:15",14,605,4.6,5.34,54,8.3,NA,0.07,0.07,0.002,0.026,0.008,0.022," 0.55"," 1.74",NA,5,"A 0.06",NA,NA,"Ward"
"99891","10336676","2020-08-06","10:40",15,603,0.5,5.03,77,7.8,NA,0.07,0.06,0.016,0.034,0.011,0.031," 0.08"," 0.19",0.0163,NA,NA,NA,NA,"Ward"
"99892","10336676","2020-09-03","10:25",15,608,0,4.58,88,8,7.8,0.06,0.05,0.002,0.027,0.009,0.033," 0.00"," 0.00",0.0018,3,"A 0.00",NA,NA,"Ward"
"99893","10336676","2020-10-05","10:35",8.5,609,0,4.6,92,9.2,NA,0.06,0.05,0.002,0.027,0.009,0.016," 0.00"," 0.00",1e-04,0.5," 0.00",NA,NA,"Ward"
"99894","10336676","2020-11-03","08:40",2,605,0.27,5.1,90,10.7,NA,0.07,0.07,0.002,0.031,0.01,0.015," 0.02"," 0.10",0,0.5,"< 0.000",NA,NA,"Ward"
"99895","10336676","2020-11-18","09:35",0,NA,3.4,5.45,76,NA,NA,0.12,0.11,0.006,0.053,0.017,0.033," 0.60"," 2.20",0.0022,3,"A 0.03",NA,NA,"Ward"
"99896","10336676","2020-12-09","13:00",0,601,0.5,5.2,83,11.3,7.7,0.07,0.07,0.002,0.037,0.012,0.028," 0.08"," 0.19",3e-04,0.5,"< 0.001",NA,NA,"Ward"
"99897","10336676","2021-01-05","11:00",0,604,1.8,5.94,72,11.4,NA,0.05,0.05,0.002,0.037,0.012,0.014," 0.14"," 0.49",0.0036,6,"A 0.03",NA,NA,"Ward"
"99898","10336676","2021-02-04","11:30",0,605,1.6,5.24,75,11.5,NA,0.11,0.1,0.004,0.034,0.011,0.017," 0.15"," 0.95",3e-04,0.5,"< 0.002",NA,NA,"Ward"
"99899","10336676","2021-03-01","13:25",1,603,2.4,5.28,73,11.1,7.5,0.19,0.19,0.003,0.031,0.01,0.018," 0.23"," 2.46",0.0015,2,"A 0.01",NA,NA,"Ward"
"99900","10336676","2021-04-02","10:30",2,600,13,5.59,56,11.2,NA,0.05,0.04,0.013,0.021,0.007,0.013," 0.91"," 3.51",0.0019,3," 0.11",NA,NA,"Ward"
"99901","10336676","2021-04-07","11:05",5.5,604,24,5.76,55,10.5,NA,0.15,0.13,0.021,0.017,0.006,0.024," 3.11"," 19.4",0.0014,2,"A 0.13",NA,NA,"Ward"
"99902","10336676","2021-04-12","10:35",3,600,32,5.84,54,10.7,NA,0.13,0.11,0.014,0.015,0.005,0.017," 2.93"," 22.4",0.0014,2,"A 0.17",NA,NA,"Ward"
"99903","10336676","2021-04-20","09:20",2.5,600,37,5.9,41,10.8,NA,0.11,0.1,0.005,0.013,0.004,0.018," 3.59"," 22.0",0.0073,12," 1.2",NA,NA,"Ward"
"99904","10336676","2021-04-27","14:30",8,602,22,5.72,44,9.3,NA,0.1,0.1,0.002,0.01,0.003,0.02," 2.37"," 11.9",0.0032,5,"A 0.29",NA,NA,"Ward"
"99905","10336676","2021-05-05","07:25",3,603,40,5.93,36,10.7,NA,0.14,0.13,0.01,0.008,0.003,0.021," 4.53"," 30.2",0.0055,8,"A 0.86",NA,NA,"Ward"
"99906","10336676","2021-05-14","10:30",5.5,NA,34,5.86,34,10.1,NA,0.09,0.09,0.004,0.01,0.003,0.017," 3.12"," 16.5",0.0021,4," 0.37",NA,NA,"Ward"
"99907","10336676","2021-05-21","10:05",3.5,NA,24,5.75,37,NA,NA,0.08,0.08,0.002,0.009,0.003,0.018," 2.33"," 10.4",0.0013,2,"A 0.13",NA,NA,"Ward"
"99908","10336676","2021-06-02","11:00",10,605,22,5.73,36,8.8,7.4,0.09,0.09,0.002,0.012,0.004,0.012," 1.42"," 10.7",0.0022,4,"A 0.24",NA,NA,"Ward"
"99909","10336676","2021-07-08","10:35",17.5,605,0.69,5.15,68,7.4,NA,0.1,0.08,0.017,0.029,0.01,0.021," 0.08"," 0.37",0.0022,3,"A 0.01",NA,NA,"Ward"
"99910","10336676","2021-10-22","10:45",7.5,NA,1.9,5.33,75,NA,NA,0.14,0.14,0.006,0.048,0.016,0.045,NA,NA,NA,NA,NA,NA,NA,"Ward"
"99911","10336676","2021-10-24","12:10",4.5,NA,138,6.5,38,NA,NA,3,2.9,0.168,0.048,0.016,1.66,NA,NA,0.5966,918,"A 342",NA,NA,"Ward"
"99912","10336676","2021-11-05","11:00",4,NA,26,5.81,44,NA,NA,0.12,0.11,0.009,0.021,0.007,0.013,NA,NA,NA,NA,NA,NA,NA,"Ward"
"99913","10336676","2021-12-07","11:40",3.5,600,8.1,5.51,53,10.4,7.5,0.05,0.05,0.002,0.022,0.007,0.02,NA,NA,4e-04,1,"A 0.02",NA,NA,"Ward"
"99914","10336676","2022-01-05","10:20",1.5,NA,9.5,5.59,55,NA,NA,0.05,0.05,0.002,0.02,0.007,0.019,NA,NA,NA,NA,NA,NA,NA,"Ward"
"99915","10336676","2022-02-03","11:15",1,NA,7.8,5.58,57,NA,NA,0.05,0.05,0.002,0.019,0.006,0.022,NA,NA,NA,NA,NA,NA,NA,"Ward"
"99916","10336676","2022-03-03","14:20",3.5,596,15,5.71,53,10.3,7.4,0.08,0.08,0.002,0.017,0.005,0.014,NA,NA,NA,NA,NA,NA,NA,"Ward"
